Latitude,Longitude,Region
-76.49,-178.0,5.0
-76.49,-178.0,5.0
-76.5,178.0,5.0
-76.47,178.1,5.0
-76.5,176.0,5.0
-76.5,176.0,5.0
-76.5,176.0,5.0
-76.62,169.6,5.0
-76.63,169.6,5.0
-76.63,169.6,5.0
-76.5,170.0,5.0
-76.5,170.0,5.0
-76.5,170.0,5.0
-76.5,172.0,5.0
-76.5,172.0,5.0
-76.49,172.1,5.0
-76.5,174.0,5.0
-76.5,174.0,5.0
-76.5,174.0,5.0
-76.5,176.0,5.0
-76.5,176.0,5.0
-76.5,176.0,5.0
-76.52,-178.0,5.0
-76.51,-178.0,5.0
-76.51,-178.0,5.0
-77.89,-178.0,0.0
-77.89,-178.0,0.0
-77.5,-178.2,5.0
-77.5,-178.2,5.0
-77.0,-178.0,5.0
-77.0,-178.0,5.0
-76.54,-178.1,5.0
-76.54,-178.1,5.0
-76.54,-178.1,5.0
-76.56,-178.2,5.0
-76.5,178.0,5.0
-76.5,178.0,5.0
-76.48,178.0,5.0
-76.5,176.0,5.0
-76.5,176.0,5.0
-76.5,176.0,5.0
-76.5,176.0,5.0
-76.5,174.0,5.0
-76.5,174.0,5.0
-76.5,174.0,5.0
-76.5,174.0,5.0
-76.5,172.0,5.0
-76.5,172.0,5.0
-76.5,172.0,5.0
-76.5,172.0,5.0
-76.5,170.0,5.0
-76.5,170.0,5.0
-76.5,170.0,5.0
-76.5,169.0,5.0
-76.5,169.0,5.0
-76.53,169.2,5.0
-76.5,-178.0,5.0
-76.49,-178.0,5.0
-76.49,-178.0,5.0
-76.5,173.2,5.0
-76.5,173.2,5.0
-76.5,173.2,5.0
-76.5,173.2,5.0
-76.5,172.6,5.0
-76.5,172.6,5.0
-76.49,176.1,5.0
-76.49,176.1,5.0
-76.5,170.6,5.0
-76.5,170.6,5.0
-76.5,170.6,5.0
-76.5,170.6,5.0
-76.5,170.6,5.0
-76.5,-178.0,5.0
-76.5,-178.0,5.0
-76.51,179.9,5.0
-76.52,179.9,5.0
-76.52,179.9,5.0
-76.5,178.0,5.0
-76.5,178.0,5.0
-76.51,178.0,5.0
-76.51,178.0,5.0
-76.5,176.0,5.0
-76.5,176.0,5.0
-76.5,176.0,5.0
-76.5,176.0,5.0
-76.5,174.0,5.0
-76.5,174.0,5.0
-76.5,174.0,5.0
-76.5,174.0,5.0
-76.5,172.0,5.0
-76.5,172.0,5.0
-76.5,172.0,5.0
-76.5,172.0,5.0
-76.5,170.0,5.0
-76.5,170.0,5.0
-76.5,170.0,5.0
-76.5,170.0,5.0
-76.5,170.0,5.0
-76.5,169.0,5.0
-76.5,169.0,5.0
-76.5,169.0,5.0
-76.5,169.0,5.0
-76.5,169.0,5.0
-14.0,-165.0,2.0
-11.0,-165.0,2.0
-8.0,-165.0,2.0
-5.0,-165.0,2.0
-3.0,-165.0,2.0
-1.0,-164.6,2.0
0.0,-165.0,2.0
2.01,-164.6,2.0
5.0,-165.0,2.0
5.59,-165.0,2.0
-0.02,-166.6,2.0
-0.01,-166.4,2.0
0.0,-166.5,2.0
0.07,-166.4,2.0
0.13,-166.3,2.0
0.21,-166.2,2.0
0.0,-175.4,2.0
0.0,-179.3,2.0
0.0,-176.2,2.0
0.0,-172.2,2.0
0.0,-168.3,2.0
0.0,-164.3,2.0
0.0,-160.4,2.0
0.0,-156.6,2.0
0.0,-153.0,2.0
0.01,-150.2,2.0
